song_name#song_id#artists#artists_id#album_name#album_id#audio_features#genres#lyrics_sentiment
Desafío#7j9DYPyCuvSAtPcevpAkzb#['Arca']#['4SQdUpG4f7UbkJG3cJ2Iyj']#Arca#1MQO4j8QExVgmnplbIodEU#{'danceability': 0.161, 'energy': 0.482, 'key': 1, 'loudness': -11.21, 'mode': 0, 'speechiness': 0.0472, 'acousticness': 0.486, 'instrumentalness': 0.409, 'liveness': 0.371, 'valence': 0.0926, 'tempo': 161.092, 'type': 'audio_features', 'id': '7j9DYPyCuvSAtPcevpAkzb', 'uri': 'spotify:track:7j9DYPyCuvSAtPcevpAkzb', 'track_href': 'https://api.spotify.com/v1/tracks/7j9DYPyCuvSAtPcevpAkzb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7j9DYPyCuvSAtPcevpAkzb', 'duration_ms': 233079, 'time_signature': 5}#['art pop', 'dance pop', 'deconstructed club', 'electropop', 'escape room', 'experimental pop', 'fluxwork', 'indie r&b', 'indietronica']#0.005499999970197678
Anoche#1cwTMSQeMaA9fVKEF1iWeD#['Arca']#['4SQdUpG4f7UbkJG3cJ2Iyj']#Arca#1MQO4j8QExVgmnplbIodEU#{'danceability': 0.23, 'energy': 0.434, 'key': 10, 'loudness': -12.402, 'mode': 0, 'speechiness': 0.0551, 'acousticness': 0.57, 'instrumentalness': 0, 'liveness': 0.115, 'valence': 0.0834, 'tempo': 80.793, 'type': 'audio_features', 'id': '1cwTMSQeMaA9fVKEF1iWeD', 'uri': 'spotify:track:1cwTMSQeMaA9fVKEF1iWeD', 'track_href': 'https://api.spotify.com/v1/tracks/1cwTMSQeMaA9fVKEF1iWeD', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1cwTMSQeMaA9fVKEF1iWeD', 'duration_ms': 216905, 'time_signature': 5}#['art pop', 'dance pop', 'deconstructed club', 'electropop', 'escape room', 'experimental pop', 'fluxwork', 'indie r&b', 'indietronica']#0.39010000228881836
Sin Rumbo#0aL27vskbMpwsMGUkHm3Zf#['Arca']#['4SQdUpG4f7UbkJG3cJ2Iyj']#Arca#1MQO4j8QExVgmnplbIodEU#{'danceability': 0.289, 'energy': 0.28, 'key': 9, 'loudness': -15.335, 'mode': 1, 'speechiness': 0.0433, 'acousticness': 0.874, 'instrumentalness': 0.00443, 'liveness': 0.124, 'valence': 0.0391, 'tempo': 124.835, 'type': 'audio_features', 'id': '0aL27vskbMpwsMGUkHm3Zf', 'uri': 'spotify:track:0aL27vskbMpwsMGUkHm3Zf', 'track_href': 'https://api.spotify.com/v1/tracks/0aL27vskbMpwsMGUkHm3Zf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0aL27vskbMpwsMGUkHm3Zf', 'duration_ms': 215773, 'time_signature': 3}#['art pop', 'dance pop', 'deconstructed club', 'electropop', 'escape room', 'experimental pop', 'fluxwork', 'indie r&b', 'indietronica']#0.0
La Gata Bajo la Lluvia#2kfSFdq2h0xLXq01em1zc7#['Rocío Dúrcal']#['2uyweLa0mvPZH6eRzDddeB']#Sus 16 Grandes Exitos#1QXxmsxolhkqiFtI1mpX4i#{'danceability': 0.499, 'energy': 0.648, 'key': 7, 'loudness': -5.812, 'mode': 1, 'speechiness': 0.0331, 'acousticness': 0.723, 'instrumentalness': 0, 'liveness': 0.576, 'valence': 0.464, 'tempo': 88.14, 'type': 'audio_features', 'id': '2kfSFdq2h0xLXq01em1zc7', 'uri': 'spotify:track:2kfSFdq2h0xLXq01em1zc7', 'track_href': 'https://api.spotify.com/v1/tracks/2kfSFdq2h0xLXq01em1zc7', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2kfSFdq2h0xLXq01em1zc7', 'duration_ms': 219107, 'time_signature': 4}#['bolero', 'cancion melodica', 'grupera', 'latin', 'latin pop', 'ranchera']#0.00570000009611249
Querida#5ySxlyvySBhIEvoO2xx7uT#['Juan Gabriel']#['2MRBDr0crHWE5JwPceFncq']#Recuerdos II#1xrQ48Vvnvm3SmAbnIukGt#{'danceability': 0.528, 'energy': 0.383, 'key': 2, 'loudness': -11.17, 'mode': 1, 'speechiness': 0.0258, 'acousticness': 0.376, 'instrumentalness': 0, 'liveness': 0.11, 'valence': 0.46, 'tempo': 89.089, 'type': 'audio_features', 'id': '5ySxlyvySBhIEvoO2xx7uT', 'uri': 'spotify:track:5ySxlyvySBhIEvoO2xx7uT', 'track_href': 'https://api.spotify.com/v1/tracks/5ySxlyvySBhIEvoO2xx7uT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5ySxlyvySBhIEvoO2xx7uT', 'duration_ms': 328320, 'time_signature': 4}#['cancion melodica', 'latin', 'latin pop']#0.0
Otro Día para Ser#4c3ix86CIDIVzXBTRUNwBd#['Hermetica']#['6j6Ld5h0aFgH0VQWQNazS7']#Victimas del Vaciamiento#70Bq990gBdpLDzx7M8r28i#{'danceability': 0.33, 'energy': 0.574, 'key': 4, 'loudness': -11.643, 'mode': 0, 'speechiness': 0.0338, 'acousticness': 0.000268, 'instrumentalness': 0, 'liveness': 0.104, 'valence': 0.193, 'tempo': 99.258, 'type': 'audio_features', 'id': '4c3ix86CIDIVzXBTRUNwBd', 'uri': 'spotify:track:4c3ix86CIDIVzXBTRUNwBd', 'track_href': 'https://api.spotify.com/v1/tracks/4c3ix86CIDIVzXBTRUNwBd', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4c3ix86CIDIVzXBTRUNwBd', 'duration_ms': 298160, 'time_signature': 4}#['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin metal', 'rock en espanol', 'rock nacional']#0.0
Robo un Auto#6JnnF3ZIpuJt51oG9wVAEb#['Hermetica']#['6j6Ld5h0aFgH0VQWQNazS7']#Acido Argentino#33XPcITW6McI85shkX51RP#{'danceability': 0.406, 'energy': 0.947, 'key': 11, 'loudness': -9.738, 'mode': 0, 'speechiness': 0.0817, 'acousticness': 0.000117, 'instrumentalness': 2.11e-05, 'liveness': 0.109, 'valence': 0.328, 'tempo': 139.914, 'type': 'audio_features', 'id': '6JnnF3ZIpuJt51oG9wVAEb', 'uri': 'spotify:track:6JnnF3ZIpuJt51oG9wVAEb', 'track_href': 'https://api.spotify.com/v1/tracks/6JnnF3ZIpuJt51oG9wVAEb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6JnnF3ZIpuJt51oG9wVAEb', 'duration_ms': 222000, 'time_signature': 4}#['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin metal', 'rock en espanol', 'rock nacional']#0.0
El Pibe Tigre#6p5SbKcAnIECU3hoFkZlPQ#['Almafuerte']#['6qYd7xlmeeeDkPfx6mZ9PV']#Mundo Guanaco#5IyVKrEhTZhhTbUsB8xdl6#{'danceability': 0.577, 'energy': 0.85, 'key': 0, 'loudness': -7.099, 'mode': 1, 'speechiness': 0.0756, 'acousticness': 0.000376, 'instrumentalness': 0, 'liveness': 0.11, 'valence': 0.561, 'tempo': 116.968, 'type': 'audio_features', 'id': '6p5SbKcAnIECU3hoFkZlPQ', 'uri': 'spotify:track:6p5SbKcAnIECU3hoFkZlPQ', 'track_href': 'https://api.spotify.com/v1/tracks/6p5SbKcAnIECU3hoFkZlPQ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6p5SbKcAnIECU3hoFkZlPQ', 'duration_ms': 243107, 'time_signature': 4}#['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin alternative', 'latin metal', 'rock en espanol', 'rock nacional']#0.0
Deseando Destruir y Matar#2zumIZU09Iz2eGRJ5UXHms#['V8']#['2GOgGMMJooNV8Yk2PjvzAa']#Un Paso Mas en la Batalla#0zHdtlc987CwJR3Pr5TV5z#{'danceability': 0.288, 'energy': 0.982, 'key': 2, 'loudness': -4.81, 'mode': 1, 'speechiness': 0.103, 'acousticness': 0.00599, 'instrumentalness': 0.000318, 'liveness': 0.688, 'valence': 0.408, 'tempo': 90.765, 'type': 'audio_features', 'id': '2zumIZU09Iz2eGRJ5UXHms', 'uri': 'spotify:track:2zumIZU09Iz2eGRJ5UXHms', 'track_href': 'https://api.spotify.com/v1/tracks/2zumIZU09Iz2eGRJ5UXHms', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2zumIZU09Iz2eGRJ5UXHms', 'duration_ms': 316413, 'time_signature': 4}#['argentine heavy metal', 'argentine metal', 'latin metal']#0.0
